episode,total_reward
1,18.0
2,11.0
3,14.0
4,31.0
5,14.0
6,37.0
7,17.0
8,12.0
9,23.0
10,11.0
11,15.0
12,30.0
13,17.0
14,32.0
15,28.0
16,17.0
17,17.0
18,11.0
19,17.0
20,10.0
21,14.0
22,16.0
23,22.0
24,13.0
25,12.0
26,13.0
27,10.0
28,13.0
29,10.0
30,10.0
31,12.0
32,16.0
33,19.0
34,11.0
35,14.0
36,14.0
37,21.0
38,13.0
39,10.0
40,16.0
41,18.0
42,21.0
43,15.0
44,20.0
45,12.0
46,15.0
47,13.0
48,18.0
49,14.0
50,15.0
51,19.0
52,19.0
53,42.0
54,36.0
55,21.0
56,36.0
57,24.0
58,13.0
59,21.0
60,30.0
61,39.0
62,146.0
63,108.0
64,234.0
65,244.0
66,237.0
67,234.0
68,201.0
69,184.0
70,199.0
71,183.0
72,194.0
73,194.0
74,202.0
75,227.0
76,206.0
77,196.0
78,284.0
79,192.0
80,227.0
81,250.0
82,246.0
83,249.0
84,271.0
85,180.0
86,162.0
87,203.0
88,175.0
89,192.0
90,161.0
91,133.0
92,137.0
93,140.0
94,140.0
95,162.0
96,227.0
97,215.0
98,153.0
99,191.0
100,199.0
101,142.0
102,172.0
103,173.0
104,206.0
105,181.0
106,155.0
107,167.0
108,163.0
109,235.0
110,231.0
111,171.0
112,183.0
113,231.0
114,330.0
115,223.0
116,239.0
117,175.0
118,291.0
119,239.0
120,245.0
121,214.0
122,194.0
123,184.0
124,204.0
125,206.0
126,241.0
127,315.0
128,221.0
129,221.0
130,233.0
131,295.0
132,226.0
133,184.0
134,240.0
135,292.0
136,271.0
137,207.0
138,250.0
139,228.0
140,250.0
141,224.0
142,304.0
143,195.0
144,272.0
145,249.0
146,251.0
147,221.0
148,207.0
149,225.0
150,246.0
151,213.0
152,206.0
153,226.0
154,237.0
155,238.0
156,223.0
157,205.0
158,224.0
159,220.0
160,204.0
161,201.0
162,211.0
163,239.0
164,216.0
165,215.0
166,230.0
167,201.0
168,255.0
169,214.0
170,230.0
171,248.0
172,247.0
173,236.0
174,232.0
175,218.0
176,209.0
177,231.0
178,220.0
179,197.0
180,212.0
181,221.0
182,235.0
183,215.0
184,211.0
185,209.0
186,219.0
187,220.0
188,209.0
189,207.0
190,231.0
191,241.0
192,232.0
193,259.0
194,362.0
195,451.0
196,350.0
197,358.0
198,335.0
199,303.0
200,291.0
201,320.0
202,342.0
203,292.0
204,274.0
205,300.0
206,278.0
207,264.0
208,243.0
209,238.0
210,237.0
211,253.0
212,235.0
213,223.0
214,212.0
215,212.0
216,220.0
217,211.0
218,210.0
219,213.0
220,183.0
221,204.0
222,205.0
223,225.0
224,198.0
225,204.0
226,179.0
227,202.0
228,218.0
229,191.0
230,200.0
231,220.0
232,226.0
233,228.0
234,210.0
235,216.0
236,246.0
237,254.0
238,261.0
239,281.0
240,307.0
241,333.0
242,290.0
243,478.0
244,480.0
245,468.0
246,500.0
247,500.0
248,469.0
249,423.0
250,419.0
251,391.0
252,374.0
253,375.0
254,375.0
255,366.0
256,339.0
257,342.0
258,379.0
259,363.0
260,500.0
261,500.0
262,500.0
263,500.0
264,500.0
265,500.0
266,500.0
267,500.0
268,500.0
269,500.0
270,500.0
271,500.0
272,500.0
273,500.0
274,500.0
275,500.0
276,500.0
277,500.0
278,500.0
279,500.0
280,500.0
281,500.0
282,500.0
283,500.0
284,500.0
285,500.0
286,500.0
287,500.0
288,500.0
289,500.0
290,500.0
291,500.0
292,500.0
293,500.0
294,500.0
295,500.0
296,500.0
297,500.0
298,500.0
299,500.0
300,500.0
301,500.0
302,500.0
303,500.0
304,500.0
305,500.0
306,500.0
307,500.0
308,500.0
309,500.0
310,500.0
311,500.0
312,500.0
313,500.0
314,500.0
315,500.0
316,500.0
317,500.0
318,500.0
319,500.0
320,500.0
321,500.0
322,500.0
323,500.0
324,500.0
325,500.0
326,500.0
327,500.0
328,500.0
329,500.0
330,500.0
331,500.0
332,500.0
333,500.0
334,500.0
335,500.0
336,500.0
337,500.0
